entity class mean_auc sd_auc num
MEL+RCC SNV 0.59 0.22 1
MEL+RCC "Fusion gene" 0.49 0.24 1
MEL+RCC INDEL 0.59 0.25 1
MEL+RCC combined 0.54 0.1 1
MEL SNV 0.7 0.27 1
MEL "Fusion gene" 0.53 0.28 1
MEL INDEL 0.73 0.32 1
MEL combined 0.58 0.15 1
RCC SNV 0.5 0.5 1
RCC "Fusion gene" 0.5 0.33 1
RCC INDEL 0.5 0.35 1
RCC combined 0.49 0.18 1
