entity	mutation_type	median_AUROC	iqr_AUROC
MEL	combined	0.7	0.26666666666666683
MEL	Fusion gene	0.5333333333333332	0.3041666666666667
MEL	INDEL	0.7	0.25
MEL	SNV	0.7	0.2666666666666667
MEL+RCC	combined	0.6125	0.21875
MEL+RCC	Fusion gene	0.5125	0.23124999999999996
MEL+RCC	INDEL	0.6109375	0.18984374999999998
MEL+RCC	SNV	0.6236111111111111	0.21875
RCC	combined	0.5625	0.5
RCC	Fusion gene	0.5	0.33333333333333337
RCC	INDEL	0.5	0.36979166666666663
RCC	SNV	0.5	0.5
