	auc	binaryaccuracy	precision	recall	seed
0	0.45833334	0.73333335	0.0	0.0	42
1	0.34615386	0.6	0.0	0.0	42
2	0.375	0.4	0.0	0.0	42
3	0.5	0.53333336	0.33333334	0.4	42
4	0.55	0.4	0.35714287	1.0	42
5	0.55	0.35714287	0.30769232	1.0	42
6	0.5	0.64285713	0.0	0.0	42
7	0.5	0.21428572	0.21428572	1.0	42
8	0.6666667	0.78571427	0.33333334	0.5	42
9	0.6666666	0.5714286	0.45454547	1.0	42
10	0.5769231	0.26666668	0.15384616	1.0	135
11	0.5	0.06666667	0.06666667	1.0	135
12	0.55	0.6666667	0.5	0.2	135
13	0.41666666	0.6666667	0.0	0.0	135
14	0.5416667	0.6666667	0.25	0.33333334	135
15	0.3222222	0.35714287	0.16666667	0.2	135
16	0.5444445	0.64285713	0.5	0.2	135
17	0.375	0.42857143	0.0	0.0	135
18	0.7222222	0.64285713	0.5	1.0	135
19	0.16666667	0.14285715	0.2	0.33333334	135
20	0.3181818	0.46666667	0.0	0.0	23
21	0.45	0.6	0.0	0.0	23
22	0.3846154	0.6666667	0.0	0.0	23
23	0.3333333	0.53333336	0.0	0.0	23
24	0.45454544	0.6666667	0.0	0.0	23
25	0.475	0.35714287	0.27272728	0.75	23
26	0.6515152	0.64285713	0.33333334	0.6666667	23
27	0.4791667	0.5	0.4	0.33333334	23
28	0.5208333	0.5714286	0.5	0.16666667	23
29	0.5	0.2857143	0.2857143	1.0	23
30	0.36363637	0.53333336	0.0	0.0	7
31	0.5833334	0.33333334	0.23076923	1.0	7
32	0.5	0.8	0.0	0.0	7
33	0.5340909	0.6666667	0.33333334	0.25	7
34	0.53846157	0.2	0.14285715	1.0	7
35	0.5	0.64285713	0.0	0.0	7
36	0.45833334	0.78571427	0.0	0.0	7
37	0.6041667	0.64285713	0.6666667	0.33333334	7
38	0.48888892	0.5714286	0.33333334	0.2	7
39	0.42857143	0.42857143	0.0	0.0	7
40	0.5	0.4	0.33333334	0.8	49
41	0.4464286	0.46666667	0.33333334	0.14285715	49
42	0.6818182	0.53333336	0.36363637	1.0	49
43	0.3	0.4	0.0	0.0	49
44	0.5	0.53333336	0.33333334	0.4	49
45	0.53030306	0.64285713	0.25	0.33333334	49
46	0.525	0.64285713	0.33333334	0.25	49
47	0.3846154	0.71428573	0.0	0.0	49
48	0.36363637	0.5714286	0.0	0.0	49
49	0.475	0.35714287	0.27272728	0.75	49
50	0.5833333	0.6666667	1.0	0.16666667	1991
51	0.3888889	0.46666667	0.0	0.0	1991
52	0.4090909	0.6	0.0	0.0	1991
53	0.5	0.26666668	0.26666668	1.0	1991
54	0.36363637	0.53333336	0.0	0.0	1991
55	0.5555556	0.42857143	0.3846154	1.0	1991
56	0.3888889	0.5	0.0	0.0	1991
57	0.5909091	0.35714287	0.25	1.0	1991
58	0.625	0.71428573	0.25	0.5	1991
59	0.25	0.42857143	0.0	0.0	1991
60	0.4166667	0.26666668	0.16666667	0.6666667	1970
61	0.5	0.26666668	0.26666668	1.0	1970
62	0.48863637	0.6	0.25	0.25	1970
63	0.3846154	0.6666667	0.0	0.0	1970
64	0.5625	0.53333336	0.5	1.0	1970
65	0.3888889	0.5	0.0	0.0	1970
66	0.375	0.64285713	0.0	0.0	1970
67	0.45454544	0.71428573	0.0	0.0	1970
68	0.42857143	0.42857143	0.33333334	0.14285715	1970
69	0.475	0.5714286	0.25	0.25	1970
70	0.45	0.33333334	0.30769232	0.8	30
71	0.4166667	0.26666668	0.16666667	0.6666667	30
72	0.42045453	0.26666668	0.23076923	0.75	30
73	0.5	0.8	0.0	0.0	30
74	0.3	0.4	0.0	0.0	30
75	0.55	0.35714287	0.30769232	1.0	30
76	0.5	0.21428572	0.21428572	1.0	30
77	0.55	0.35714287	0.30769232	1.0	30
78	0.3333333	0.42857143	0.0	0.0	30
79	0.6666666	0.5714286	0.45454547	1.0	30
80	0.4375	0.46666667	0.0	0.0	108
81	0.42045453	0.26666668	0.23076923	0.75	108
82	0.22727272	0.33333334	0.0	0.0	108
83	0.5769231	0.26666668	0.15384616	1.0	108
84	0.5833334	0.33333334	0.23076923	1.0	108
85	0.7	0.78571427	1.0	0.4	108
86	0.3030303	0.2857143	0.11111111	0.33333334	108
87	0.6363636	0.42857143	0.27272728	1.0	108
88	0.6	0.42857143	0.33333334	1.0	108
89	0.375	0.42857143	0.0	0.0	108
90	0.3846154	0.6666667	0.0	0.0	5
91	0.45000002	0.53333336	0.25	0.2	5
92	0.4722222	0.4	0.3846154	0.8333333	5
93	0.0	0.13333334	0.0	0.0	5
94	0.5909091	0.4	0.30769232	1.0	5
95	0.0	0.64285713	0.0	0.0	5
96	0.425	0.5	0.2	0.25	5
97	0.7	0.78571427	1.0	0.4	5
98	0.41666666	0.35714287	0.3846154	0.8333333	5
99	0.5555556	0.42857143	1.0	0.11111111	5
