	auc	binaryaccuracy	precision	recall	seed
0	0.45833334	0.33333334	0.18181819	0.6666667	42
1	0.5192308	0.53333336	0.14285715	0.5	42
2	0.39285713	0.4	0.33333334	0.2857143	42
3	0.45	0.46666667	0.2857143	0.4	42
4	0.5	0.53333336	0.33333334	0.4	42
5	0.4	0.35714287	0.22222222	0.5	42
6	0.5222222	0.5	0.375	0.6	42
7	0.6060606	0.5714286	0.2857143	0.6666667	42
8	0.5833333	0.64285713	0.2	0.5	42
9	0.56666666	0.5	0.4	0.8	42
10	0.23076922	0.4	0.0	0.0	135
11	0.25	0.46666667	0.0	0.0	135
12	0.45000002	0.4	0.3	0.6	135
13	0.375	0.4	0.125	0.33333334	135
14	0.54166675	0.46666667	0.22222222	0.6666667	135
15	0.56666666	0.5	0.4	0.8	135
16	0.5888889	0.64285713	0.5	0.4	135
17	0.5833334	0.5714286	0.5	0.6666667	135
18	0.46666667	0.42857143	0.33333334	0.6	135
19	0.1875	0.21428572	0.0	0.0	135
20	0.4772727	0.46666667	0.25	0.5	23
21	0.45000002	0.4	0.3	0.6	23
22	0.84615386	0.73333335	0.33333334	1.0	23
23	0.49999997	0.6	0.2	0.33333334	23
24	0.5568182	0.46666667	0.3	0.75	23
25	0.5	0.5	0.2857143	0.5	23
26	0.46969697	0.35714287	0.2	0.6666667	23
27	0.5833334	0.5714286	0.5	0.6666667	23
28	0.5625	0.5714286	0.5	0.5	23
29	0.375	0.42857143	0.16666667	0.25	23
30	0.60227275	0.53333336	0.33333334	0.75	7
31	0.79166675	0.8666667	0.6666667	0.6666667	7
32	0.375	0.4	0.125	0.33333334	7
33	0.3409091	0.26666668	0.18181819	0.5	7
34	0.48076922	0.46666667	0.125	0.5	7
35	0.5777778	0.5714286	0.42857143	0.6	7
36	0.4583333	0.42857143	0.125	0.5	7
37	0.5	0.5	0.42857143	0.5	7
38	0.5	0.35714287	0.35714287	1.0	7
39	0.4285714	0.42857143	0.4	0.2857143	7
40	0.39999998	0.4	0.25	0.4	49
41	0.59821427	0.6	0.5714286	0.5714286	49
42	0.52272725	0.53333336	0.2857143	0.5	49
43	0.35000002	0.33333334	0.22222222	0.4	49
44	0.3	0.26666668	0.2	0.4	49
45	0.6060606	0.5714286	0.2857143	0.6666667	49
46	0.525	0.64285713	0.33333334	0.25	49
47	0.7307692	0.5	0.125	1.0	49
48	0.34848487	0.35714287	0.125	0.33333334	49
49	0.5	0.5	0.2857143	0.5	49
50	0.44444448	0.46666667	0.33333334	0.33333334	1991
51	0.61111116	0.6	0.5	0.6666667	1991
52	0.6818182	0.53333336	0.36363637	1.0	1991
53	0.4431818	0.53333336	0.2	0.25	1991
54	0.5568182	0.46666667	0.3	0.75	1991
55	0.36666667	0.35714287	0.25	0.4	1991
56	0.47777778	0.5	0.33333334	0.4	1991
57	0.43939394	0.5	0.16666667	0.33333334	1991
58	0.6666666	0.42857143	0.2	1.0	1991
59	0.5416667	0.5714286	0.16666667	0.5	1991
60	0.5833334	0.53333336	0.25	0.6666667	1970
61	0.64772725	0.6	0.375	0.75	1970
62	0.6363636	0.46666667	0.33333334	1.0	1970
63	0.44230765	0.4	0.11111111	0.5	1970
64	0.60714287	0.6	0.5555556	0.71428573	1970
65	0.47777778	0.5	0.33333334	0.4	1970
66	0.5416667	0.5714286	0.16666667	0.5	1970
67	0.22727272	0.35714287	0.0	0.0	1970
68	0.35714287	0.35714287	0.375	0.42857143	1970
69	0.55	0.5714286	0.33333334	0.5	1970
70	0.65	0.6666667	0.5	0.6	30
71	0.49999997	0.6	0.2	0.33333334	30
72	0.6818182	0.53333336	0.36363637	1.0	30
73	0.375	0.4	0.125	0.33333334	30
74	0.65	0.6	0.44444445	0.8	30
75	0.45	0.42857143	0.25	0.5	30
76	0.46969697	0.35714287	0.2	0.6666667	30
77	0.725	0.71428573	0.5	0.75	30
78	0.41111112	0.35714287	0.3	0.6	30
79	0.5222222	0.5	0.375	0.6	30
80	0.3839286	0.4	0.25	0.14285715	108
81	0.2159091	0.2	0.1	0.25	108
82	0.60227275	0.53333336	0.33333334	0.75	108
83	0.6923077	0.46666667	0.2	1.0	108
84	0.6666666	0.46666667	0.27272728	1.0	108
85	0.3222222	0.35714287	0.16666667	0.2	108
86	0.5151515	0.42857143	0.22222222	0.6666667	108
87	0.5454545	0.2857143	0.23076923	1.0	108
88	0.45	0.42857143	0.25	0.5	108
89	0.8333334	0.85714287	1.0	0.6666667	108
90	0.3653846	0.26666668	0.09090909	0.5	5
91	0.59999996	0.53333336	0.4	0.8	5
92	0.52777773	0.46666667	0.41666666	0.8333333	5
93	0.0	0.6666667	0.0	0.0	5
94	0.48863637	0.6	0.25	0.25	5
95	0.0	0.5714286	0.0	0.0	5
96	0.475	0.35714287	0.27272728	0.75	5
97	0.43333334	0.5	0.25	0.2	5
98	0.5208334	0.5	0.44444445	0.6666667	5
99	0.62222224	0.5714286	0.8	0.44444445	5
